date,R_F,R_MKT,R_ME,R_IA,R_ROE,R_EG
19670106,0.0747,2.2823,1.2713,0.4183,-0.4978,-0.9548
19670113,0.0934,2.9326,1.4207,-0.3957,0.7648,0.8440
19670120,0.0934,1.8872,1.2487,-1.6022,0.3917,-1.1509
19670127,0.0934,0.3518,1.7532,-1.5516,1.2950,-0.1513
19670203,0.0964,1.3707,0.9297,0.5923,0.2764,-0.0637
19670210,0.0984,0.3940,0.0293,-0.1624,0.6883,1.0438
19670217,0.0984,0.5081,0.5250,0.0848,-0.1239,0.0499
19670224,0.0787,-0.3051,0.9287,-0.1574,1.4162,0.0464
19670303,0.0896,0.9387,0.1815,-0.9272,1.7423,0.4113
19670310,0.0838,0.8557,1.2357,-1.4025,0.9348,-0.4564
19670317,0.0838,1.3307,-0.7776,-0.4899,-0.1388,-0.8546
19670323,0.0670,0.6690,0.4987,0.2883,0.2635,0.3147
19670331,0.0838,-0.5676,0.5826,0.6944,0.0115,0.2190
19670407,0.0835,-0.9132,0.1340,0.3555,-1.2186,-0.5928
19670414,0.0835,1.0099,-0.7196,-1.2842,0.5237,0.2327
19670421,0.0835,2.0707,0.1876,-0.9050,0.5031,-0.3315
19670428,0.0835,1.6782,-0.2128,-0.9774,1.1991,-1.0101
19670505,0.0710,0.6500,1.4160,-0.0130,0.2062,-0.5260
19670512,0.0710,-0.6814,0.8944,0.1945,-0.3178,-0.3316
19670519,0.0710,-1.1225,1.6274,1.2029,-0.3014,-0.7293
19670526,0.0710,-1.0822,-0.2779,0.2946,0.7551,1.1136
19670602,0.0527,-1.3718,-0.2224,0.8705,0.3417,0.3146
19670609,0.0607,2.0421,0.4221,-1.0185,0.2381,-0.2527
19670616,0.0607,1.2720,2.3451,-1.3400,0.6700,0.2738
19670623,0.0607,-0.3803,1.9159,0.0137,0.2858,-0.2549
19670630,0.0607,-1.2769,0.8412,0.3607,-0.8301,0.0067
19670707,0.0630,1.2936,0.6135,-0.4543,0.9889,0.1351
19670714,0.0787,1.2856,1.2561,0.2539,-0.2379,-0.6686
