,Year_Month,credit_factor,turnover_factor
0,1990-10,6.744618463458063,-0.05663534623586708
1,1990-11,5.472915952065249,9.093931124047284
2,1990-12,4.29749348600954,4.487512444309494
3,1991-01,8.911818288088114,13.048776247700399
4,1991-02,2.519072085425833,1.0941682538481157
5,1991-03,3.982961129523832,2.045482702231438
6,1991-04,-0.06588081399019341,-1.2426705732654808
7,1991-05,5.353834050170581,5.013104047638817
8,1991-06,-2.3807410887888625,-5.711036177302919
9,1991-07,5.5456166816658214,2.5729376302079388
10,1991-08,13.020890370457682,4.061817219648867
11,1991-09,-2.3688040463560767,-2.0996514453912707
12,1991-10,3.117699814532271,6.094848150289689
13,1991-11,6.345119397360155,-2.1756023638770716
14,1991-12,10.824528441266379,-1.209649870856866
15,1992-01,1.7399367399200116,13.658212889818078
16,1992-02,0.15555313408601723,3.5108682786069156
17,1992-03,-1.833248342160021,-6.704736278979395
18,1992-04,-3.6911465887082606,-3.083071351148625
19,1992-05,6.959829630169634,0.7438999157799664
20,1992-06,0.159529796530955,-3.356872046721404
21,1992-07,1.0075377839836586,2.3663076501410307
22,1992-08,4.815068079407259,-1.0195423682940574
23,1992-09,3.904522847818459,2.825536638579096
24,1992-10,5.857505249401629,8.84428880235697
25,1992-11,0.6836201133859854,5.7943795080423355
26,1992-12,1.2088164801172585,0.5107016524133812
27,1993-01,3.286080516151002,6.143834515012725
28,1993-02,-4.156671962925462,-4.166854087182214
29,1993-03,4.143410265416536,0.03839307206887632
30,1993-04,-2.497388822172264,-2.3456860002001756
31,1993-05,4.960155953490908,8.520694450543886
32,1993-06,-2.6983293462810476,0.7676243392209514
33,1993-07,-1.8980602195555196,1.3751423842653487
34,1993-08,0.5205608744005996,4.608177375801281
35,1993-09,2.8847686087265734,4.17868114286335
36,1993-10,-0.32211581777784604,1.2457815593378552
37,1993-11,2.70261572444066,3.3457862331193855
38,1993-12,-2.3041358890527053,-0.20730704601219507
39,1994-01,3.897127461831018,9.3268320538487
40,1994-02,3.73723094939975,5.7750165456530445
41,1994-03,1.4250815665735272,1.5610094650617246
42,1994-04,2.575662279279056,-0.1265284576220882
43,1994-05,0.770925309920556,-1.5862905375770286
44,1994-06,-3.3448876604309175,-0.7372665706571024
45,1994-07,-3.7415031626649276,-1.6062950009669175
46,1994-08,5.388256267947544,6.121481082977009
47,1994-09,2.0915833120396465,0.578867558445606
48,1994-10,5.2747556624840986,2.7644388227101357
49,1994-11,5.069328683320351,0.8404963539789145
50,1994-12,-0.31924449687563694,-3.6401476513616915
51,1995-01,1.8611105998513233,0.017055737132243287
52,1995-02,2.8423882400282707,2.4127505509701885
53,1995-03,3.834714908188319,2.1712374098660447
54,1995-04,1.004048050387918,2.504627686726524
55,1995-05,-0.8499719897440805,2.214564845232503
56,1995-06,7.692012593753672,5.75648301549212
57,1995-07,6.728637091865752,6.140070551729404
58,1995-08,2.262388257627612,1.079505853833207
59,1995-09,3.866701871611,-4.475997015030475
60,1995-10,5.436352296462554,-5.939429477994973
61,1995-11,-4.134244275908072,-1.1071921427004194
62,1995-12,-7.839359044980165,-7.59355070860771
63,1996-01,2.2269252888223345,0.24354335582350561
64,1996-02,2.326221922554028,4.01513457408369
65,1996-03,2.288332013690453,-0.4769071704268879
66,1996-04,7.66499947032091,9.056446478461954
67,1996-05,6.699384203288039,2.3152258150307192
68,1996-06,0.8659597510003891,-8.747281838605492
69,1996-07,-1.441298936694979,-2.6307848604368633
70,1996-08,2.4421789729730525,6.124460912850216
71,1996-09,2.8645544826336744,4.5326228188907525
72,1996-10,4.169968632535692,-2.144743160345075
73,1996-11,-1.0622693846109366,6.730712975230735
74,1996-12,-0.5023936771914594,-1.5014577612847857
75,1997-01,3.0717862045438693,3.934201014730676
76,1997-02,1.5464127370933722,-3.882613262804002
77,1997-03,-4.53792634683976,2.485234052483243
78,1997-04,6.266140223134675,0.48859398046015023
79,1997-05,-0.5114666631915399,3.8615321637921474
80,1997-06,-0.1460703323589274,-2.931719276110911
81,1997-07,-1.0392154655299524,9.104892956045884
82,1997-08,-0.42055610170299573,6.75948375678832
83,1997-09,1.8094879773690398,-0.7590388478233456
84,1997-10,-1.894113731708713,-6.165645343652681
85,1997-11,0.8018174063508132,-4.80542760398992
86,1997-12,-1.7037150367385734,-6.40105241695641
87,1998-01,5.152032582996791,4.00907923801701
88,1998-02,3.4671032824787673,4.091251671337726
89,1998-03,3.2782596068660297,-4.694382302083866
90,1998-04,-1.336424401649039,4.4135465189546474
91,1998-05,4.273999970746245,-8.363523948599349
92,1998-06,7.233091834586891,-4.075763377245211
93,1998-07,6.4215935018733905,-2.0050733147938704
94,1998-08,-3.7699406145583536,-8.638626580189934
95,1998-09,8.027025332123516,4.3896849177258
96,1998-10,-3.4426361058514376,4.938407322315452
97,1998-11,10.293348142071812,4.05407687459125
98,1998-12,11.762436159829015,6.320735042675452
99,1999-01,18.94826500480371,8.212511069452532
100,1999-02,-3.554550362365494,-6.006471777896627
101,1999-03,1.734250739323695,2.6757078711187265
102,1999-04,-12.086954679245554,1.1767178671989065
103,1999-05,-0.6948369837933566,-1.294200171358617
104,1999-06,17.907053552489806,8.020021409811505
105,1999-07,1.8092071912667818,3.6487176035687963
106,1999-08,-0.01917674939536651,2.801749129146369
107,1999-09,1.046888977179905,3.1382076667684444
108,1999-10,4.9821476456901825,-2.136363643520156
109,1999-11,0.32829709466775103,9.90455549296736
110,1999-12,12.724433546132353,12.880978718121883
111,2000-01,8.865629818250342,3.654747393231217
112,2000-02,28.373960332251393,26.96077667224923
