Phase,Year_Week,R1-RF,R2-RF,R3-RF,CMA,CRD,EG,HML,IA,LIQ,ME,MOM,Mkt-RF,RMW,ROE,SMB,PC1,PC2,PC3,PC4,PC5,PC6
Downturn,1994-40,-1.149491855276319,-0.5456007466199564,-0.033146079230506,0.5401608920670542,0.2138500038052937,0.5191,0.0589275271789091,0.5993,-0.6420410169426627,-0.4267,0.129722816428579,-1.7485898781138154,-0.2704194086658562,-0.7416,-0.4514812663665046,-1.721732414886243,0.05012838888199887,-0.22500362779528132,0.9572255822052728,-0.6381112871436679,-0.6839614974916146
Downturn,1994-41,2.325163128027285,2.796847415984094,3.4034871000153237,-0.4806120349426068,0.7540482019343431,0.4809,-0.9595384948280272,-0.2545,0.0582562666508357,-0.8293,0.4904481320069154,2.56055597431446,0.2596247210353786,1.0236,-1.1465191875388636,1.2713554109206715,-1.484776907492873,1.2232652249254599,-2.0424859010496026,0.2957402463260934,0.1349725481591918
Downturn,1994-42,-0.7306041577847977,-0.6494740678217426,-0.6878189979865112,-0.2503740730769976,0.4179902710843119,1.2431,-0.1104298165121031,0.0117,1.6101679406109517,0.3045,1.0943054836834998,-0.8607925340869849,-0.0202689028310776,0.4312,0.1594063598471695,0.4338576663612303,-0.7191560055498493,-1.2630655024135453,0.768586950450393,-1.2471711301160566,0.20816352325703188
Downturn,1994-43,1.0303778256997689,1.3593143897387083,1.917065684377528,-0.3008786909306171,3.7267589132079726,0.0612,-0.6787721467793606,0.0841,1.4667551064004414,-1.0562,0.0480961175135297,1.6161602261482333,0.0593569131011495,-0.1007,-1.148086010557836,2.068824717573145,-2.768326688874864,1.1091467481375037,-0.52118145877855,-1.4220103642057742,0.846769650184462
Downturn,1994-44,-1.6990590159423613,-1.6457593460880937,-1.71326284330795,-0.7490006173510477,0.317211634905945,-0.2788,-0.1807885400004316,-0.8631,0.5203979594146757,1.568,-0.9171064657500948,-1.8605676502376545,-0.0907127701968102,-0.0732,1.517760037535831,0.3272400845716335,0.42460242781487695,-0.61973434046063,3.317364754915954,0.4334907485943229,0.1555785727338383
Downturn,1994-45,-1.1075064958080638,-0.9632232577583276,-0.7904510060250058,-0.300006524937868,0.9534831502972184,0.9537,-0.5690473807217655,-0.5119,-0.4070966010242927,-0.7759,0.6602866857120748,-0.3120296123269139,0.9734120532779444,1.0356,-0.8678866370269156,-0.8961686905561468,-1.8711548200438801,0.3483575401884447,-0.267572187241232,-0.21742572237184393,0.35962997673786146
Downturn,1994-46,-0.5018171526509407,0.0032750246239166,0.395123738821157,-0.1808107516602985,1.688588027270943,0.975,-1.48209472866081,-0.1571,1.735471219015805,0.0932,0.9931823742809652,-0.3238037945263783,-0.0903457444007438,0.7206,-0.0014180369050542,1.211836301083679,-2.12773563545181,-0.8152641721343037,0.8157162574410001,-1.1181184462269145,0.1907521368313415
Downturn,1994-47,-1.0076594216145596,-0.7622846813544303,-1.3748578475482942,0.2895723257762661,0.4843440106302443,-0.6125,1.331677396519404,-0.1352,-2.055991059723561,-0.4733,-1.5029225966893045,-2.11921418133999,0.0595787536736169,-0.4648,-0.7310922347037119,-2.7773991306523715,0.6849198604565165,1.1147215723187662,1.4860746346763134,0.07551507011884004,0.037768509971937134
Downturn,1994-48,-0.1056518687793994,-0.0384280608064724,-0.0656096790954352,0.3788835821106451,1.96313068340146,1.1268,0.2490172500551724,0.6325,-0.3256726908700824,0.271,0.8425451256897976,0.0509146700278462,-0.2698409633306031,0.6198,0.0768729518240807,-0.14659534319836406,-1.3791583193623462,-0.9285655050401602,-0.07931320921218185,0.08801781762367598,1.0111762365237826
Downturn,1994-49,-0.8461525595475639,-0.9824706842580856,-1.326251688651736,0.990462392336222,-2.0823541532180023,1.5877,1.155039351190723,0.9716,-3.17430770017918,-1.5607,0.5707550474696399,-1.893926313551686,0.1693175427437188,0.6808,-1.797734137978435,-4.970300673343888,0.8718758784911977,0.30605065713538376,-1.3479118507542318,0.056905731508703594,-0.7248987502861454
Downturn,1994-50,2.1550904444398,2.331171173853664,2.806939829622501,-0.4801790980759168,-1.2146728166563814,-0.3216,-0.0907436821392271,0.0611,-1.4264502501716292,-0.3993,0.8522464908110816,2.4415646037448946,-0.1708676029158584,0.9077,-0.9328955689414832,0.1609098317323473,0.37298167631795387,0.6650008692554417,-2.6358520728162054,1.418708226961192,-0.7910013987272279
Downturn,1994-51,0.5219365308674728,0.2809974797027825,0.3481469481169119,0.0096699607185168,0.2474589607947441,1.3667,-1.0400326072408816,-0.0922,0.6886911983217336,1.3781,0.3490636158311133,0.5088597083645174,0.0298929805233827,0.927,1.205103510590888,1.2415623966598628,-0.46252916796247323,-0.9638934191640655,0.7828553672184488,0.8887888254484665,0.7538915623674847
Downturn,1994-52,-0.0177415060014451,0.1527226310706675,0.2640730899883259,-0.3135956872383993,2.466432459874679,0.479,-0.2009616092956134,0.1385,1.9552365772171232,1.9316,0.4479853968799796,0.1877891709931134,0.3099273482185527,0.7796,1.935870349904345,2.4008870208932347,-1.1486131248963953,-1.9103004470614957,1.7785389501707818,0.07648383321480923,2.004426116034734
Downturn,1995-01,0.5693318545003656,0.4669024648429776,0.2054671230117044,0.6502336040000056,-0.588676111227926,0.0375,1.6071905823111132,0.6118,2.267004395263039,-0.8632,-2.106726552800009,0.1991418223722174,-0.5003117994152539,-0.8788,-0.9694770458380076,0.7344669566756435,2.3500724889012994,1.6775740574631632,0.358971564185856,-2.6280298523908057,0.5475244462697236
