,Date,credit_factor,turnover_factor
0,1990-12-31,0.16041005276428155,0.8272184885536715
1,1990-10-12,2.061051076961351,-0.1264683374535669
2,1990-10-19,6.211808183512413,3.0690578334070295
3,1990-10-26,-0.8307142212954588,-0.1419848907206367
4,1990-11-02,1.4820779670146944,0.1065282410977142
5,1990-11-09,1.6825155630791677,0.2541590384347536
6,1990-11-16,3.046554209268293,3.290718649516422
7,1990-11-23,-3.4043646613363343,-0.9268416918619793
8,1990-11-30,1.9648083301194497,3.27871114581777
9,1990-12-07,2.374199594041637,1.7961304286311375
10,1990-12-14,2.032035651197406,-0.7293538195447535
11,1990-12-21,-0.7037282692340718,3.124770411116784
12,1990-12-28,0.39631315166488434,-0.5576244621783966
13,1991-12-31,1.1406831318838906,0.9202923538165653
14,1991-01-11,2.3183317784342794,0.5077804677164899
15,1991-01-18,4.273333340695018,2.6359417324798073
16,1991-01-25,0.9888406712133868,5.911286636407431
17,1991-02-01,0.13666347780805221,3.439566459824972
18,1991-02-08,1.4474265536315256,1.074965105431902
19,1991-02-15,3.51657400333929,-1.1160220274717858
20,1991-02-22,-0.7625463624774786,-0.003453901010874727
21,1991-03-01,0.9158296741403449,1.7862464460751237
22,1991-03-08,2.640686596226227,3.860249723565623
23,1991-03-15,-1.2795111484510957,-2.291017897521963
24,1991-03-22,-0.18413936723965518,-2.200087327265565
25,1991-03-28,1.5391661936832168,1.9569370831483246
26,1991-04-05,1.1502208553572535,1.4720177872536988
27,1991-04-12,2.298819669421115,1.1556843940289552
28,1991-04-19,-0.3181410995962253,0.7263443151702909
29,1991-04-26,-1.5943598199590348,-1.9432225360529132
30,1991-05-03,-0.7477096323558974,-1.7895227248994172
31,1991-05-10,0.5336475279265285,2.8049166017312777
32,1991-05-17,-1.3060057430794858,-2.839994765710474
33,1991-05-24,4.459102318385688,2.8516329468858848
34,1991-05-31,0.832738990135562,1.387666509607488
35,1991-06-07,-2.556100142495199,-0.5940249649169949
36,1991-06-14,2.876253847974408,-1.269019437334662
37,1991-06-21,-1.877712623941441,-1.7415786307192538
38,1991-06-28,-0.7574203681623204,-2.2256041972967044
39,1991-07-05,0.3973309166017458,-0.5379796397406822
40,1991-07-12,4.393798591894749,3.2677156767541904
41,1991-07-19,0.03600265415240056,-1.224348417316623
42,1991-07-26,0.4406472070415557,-0.4875683738007619
43,1991-08-02,1.8605923587822204,2.536509264637554
44,1991-08-09,4.602372953168321,1.5906837260117657
45,1991-08-16,2.8210704728440783,0.6809173975115934
46,1991-08-23,3.0247713820894084,0.05948973675791169
47,1991-08-30,0.36093799000322946,0.7481896251624542
48,1991-09-06,-1.7283828764390274,-0.7392932020619192
49,1991-09-13,1.61257141843838,-0.4684056916764767
50,1991-09-20,1.3629925909805385,1.4669966182685457
51,1991-09-27,-3.0044636052672047,-1.539972024853009
52,1991-10-04,-2.9543379544050286,-0.23935338581384524
53,1991-10-11,0.3242802446640658,0.8669891396274831
54,1991-10-18,2.646022062215958,3.2714840576734794
55,1991-10-25,-0.5849995499460747,-2.378167983373769
56,1991-11-01,3.519661764950932,3.731901821851724
57,1991-11-08,1.7639092247127675,1.6182149935240586
58,1991-11-15,0.11568648109523405,-2.5482111585644063
59,1991-11-22,3.741018021268405,-0.6122672067482404
60,1991-11-29,0.3199226301844549,-0.6059366314054793
61,1991-12-06,5.208498858260513,-0.5919565320348874
62,1991-12-13,1.8514396980304992,-1.1088083358789746
63,1991-12-20,0.07508673267144772,-3.4263365348753405
64,1991-12-27,1.8049410538058863,3.3649070952854965
65,1992-01-03,1.1987407538083694,1.1163768849041134
66,1992-01-10,2.7068779932457376,7.5548381117297
67,1992-01-17,-3.0117005224490234,4.605196625296792
68,1992-01-24,1.1452946670983177,-0.5308830806963427
69,1992-01-31,-0.2180934191934103,0.44026497589000346
70,1992-02-07,0.6570506561300427,2.533172223323832
71,1992-02-14,-1.969252501199259,0.8630545781633803
72,1992-02-21,-0.3998700647360409,-0.3104101570818085
73,1992-02-28,1.9080786473841371,0.4013684146442431
74,1992-03-06,-5.126935210294803,-1.4766248649709657
75,1992-03-13,1.802847055581891,-1.9152828730724658
76,1992-03-20,0.7854378283508323,-0.9416501338302075
77,1992-03-27,0.10968359781324821,-3.0512039410958036
78,1992-04-03,1.0389836664109309,-0.43415706505531837
79,1992-04-10,1.1747733408638883,-0.7134179346716563
80,1992-04-16,1.9868466422510833,0.3021315189706719
81,1992-04-24,-4.682567126493764,-2.0913768512015762
82,1992-05-01,-2.3335105989924387,0.47503536776194455
83,1992-05-08,3.635895957227109,1.7728487097280254
84,1992-05-15,-2.2006860556023633,-3.0410496714467383
85,1992-05-22,3.42713422678651,0.739706003464069
86,1992-05-29,1.9931046900093508,1.2262480242551055
87,1992-06-05,2.032911036816065,0.23009975013794648
88,1992-06-12,-2.096201034041023,-1.5372181731981294
89,1992-06-19,-2.4776544004425416,-3.7738695746420747
90,1992-06-26,-2.1503099611915877,-1.6971156309845692
91,1992-07-02,3.6621775731003225,1.5234635723636591
92,1992-07-10,-1.755423439346493,-0.3308365175431538
93,1992-07-17,2.2717100288957015,1.1296187251612633
94,1992-07-24,0.5721270310125037,1.056850986141744
95,1992-07-31,1.316594108002711,2.477164388547637
96,1992-08-07,0.9558831934574963,-0.36658655950650987
97,1992-08-14,-1.186911347418107,-1.1954721162453663
98,1992-08-21,2.0068153121174825,-0.5840666908686454
99,1992-08-28,2.3933922692718657,1.1009539383034062
100,1992-09-04,1.1772235151358945,2.051440788466685
101,1992-09-11,3.419479867864683,1.69519565973677
