Phase,Year_Week,R1-RF,R2-RF,R3-RF,CMA,CRD,EG,HML,IA,LIQ,ME,MOM,Mkt-RF,RMW,ROE,SMB,PC1,PC2,PC3,PC4,PC5
Recovery,1991-14,0.8087215233881784,0.8883165947937366,1.0460183160462933,-0.570729966312844,1.1502208553572535,-0.5419,-0.8695604951632796,-0.2831,1.4720177872536988,1.9119,0.8919330334654862,0.5131366110453728,-0.0324568893573795,0.4557,1.521326312338411,-0.8875439591568972,1.382711376087754,1.953376555442111,0.6532607438916028,-0.6257146308961619
Recovery,1991-15,0.264304806086213,0.6256989821010528,0.9936224019255092,0.6213853327045715,2.298819669421115,0.2974,0.2694597884262961,0.7554,1.1556843940289552,-0.6018,0.5301509009708827,1.069283715545022,-0.1601837553074969,1.1641,-0.2052302878565726,-1.6787964597520504,0.9805013789942644,-0.21173292953619438,-0.7828873487912608,-1.7078867226716676
Recovery,1991-16,0.3974106520802323,0.9072571620411196,1.589490483921363,0.3698527290994846,-0.3181410995962253,0.1628,1.181053898191542,0.0403,0.7263443151702909,-0.6797,-2.540450306928743,0.8231787679678026,0.4385830336026242,-0.9019,-0.383024565109713,1.7620759858310493,-0.6222823458906098,-1.779747594447676,-0.3244317148964082,0.08839302815308585
Recovery,1991-17,-0.4612407672706098,-0.4007249962255543,-0.4024820479065272,-0.1202179231172273,-1.5943598199590348,0.7819,0.1093923877888425,-0.2596,-1.9432225360529127,-0.6371,-0.7584052920748818,-1.5070456704210369,0.4101313091587233,0.1809,-0.0436275190847545,-1.0941719835915853,-3.000622111767223,-1.4661136783701219,0.46632708449093446,1.5480350158019471
Recovery,1991-18,0.8211126904234645,1.5248426097398182,2.275010501080632,0.149087925191238,-0.7477096323558974,-0.9039,0.3583680655928623,0.0811,-1.7895227248994172,-0.6211,0.498411744679017,0.2841982120403763,0.1498998500230719,0.3691,-0.4279787924079459,-1.3026514045832773,-1.7182372216945385,-0.56451644692383,-0.7701355156259662,1.4757128223627067
Recovery,1991-19,-0.0070618873045047,0.3196717654819769,0.571269951320974,-0.1902147943284582,0.5336475279265285,1.181,-0.3112472440798486,-0.1435,2.8049166017312777,0.9044,0.1187132875289043,-1.0271429598166404,0.1285485804750408,0.0872,1.1998984367178167,-0.27445584017049435,0.6072133918032255,0.5457546301096086,1.5955197029921355,-2.0023281033032605
Recovery,1991-20,-0.6589407221085142,-0.6800396246724016,-0.7920468335590014,-0.3016532031598906,-1.3060057430794858,-0.5579,0.5873455787391846,-0.2405,-2.839994765710474,-0.6109,-0.3826056671733968,-1.2203356562811352,0.360012261240783,0.4603,-1.009088148207371,-1.487309751897703,-3.254168705594834,-1.6278794871763744,-0.003047449684581399,1.988281318373874
Recovery,1991-21,-0.2147846441294065,0.1973884243376078,0.7557937872607834,-1.1947043724915063,4.459102318385688,-0.3892,-0.6089774068536835,-0.6087,2.8516329468858848,-0.2377,1.2337901427691644,1.4452249891562683,0.7815977844462196,0.8735,-0.1017117520317301,-2.2933715791844502,3.876237930107119,-0.2213480885889731,-0.1273484245205782,-2.7446243186971215
Recovery,1991-22,0.9692227694040544,1.3618590004919495,1.7534617575614364,-0.4095261180459886,0.832738990135562,-0.4323,0.1882194962143035,-0.7266,1.387666509607488,-0.69,-2.2921096596255963,3.031909753441719,0.5708339763776049,-2.079,-0.2216001880000151,2.050936253603961,2.232358698486343,-1.548413883141586,-0.935155083465957,0.8347970316489483
Recovery,1991-23,-0.4243302669601489,-0.0068480590926345,0.6224884947271914,0.5193232102893797,-2.556100142495199,0.4398,1.2147481007645178,0.3773,-0.5940249649169949,2.1869,-1.254717215503609,-2.212431468960818,-0.0603699132974422,-0.2838,1.8931530801879148,1.182870608653213,-3.7981716341153517,1.4680772964397286,1.5423265426239998,0.698180617739583
