Date,CloseNYSE,CloseSP500
2009-10-15,7204.0498046875,1096.56005859375
2009-10-16,7133.9599609375,1087.6800537109375
2009-10-19,7222.2099609375,1097.9100341796875
2009-10-20,7158.27001953125,1091.06005859375
2009-10-21,7107.2099609375,1081.4000244140625
2009-10-22,7182.91015625,1092.9100341796875
2009-10-23,7066.7998046875,1079.5999755859375
2009-10-26,6960.08984375,1066.949951171875
2009-10-27,6932.0400390625,1063.4100341796875
2009-10-28,6765.68994140625,1042.6300048828125
2009-10-29,6955.31005859375,1066.1099853515625
2009-10-30,6739.4501953125,1036.18994140625
2009-11-02,6784.93994140625,1042.8800048828125
2009-11-03,6812.7001953125,1045.4100341796875
2009-11-04,6830.43017578125,1046.5
2009-11-05,6950.14013671875,1066.6300048828125
2009-11-06,6958.2900390625,1069.300048828125
2009-11-09,7135.330078125,1093.0799560546875
2009-11-10,7126.419921875,1093.010009765625
2009-11-11,7155.35986328125,1098.510009765625
2009-11-12,7063.0498046875,1087.239990234375
2009-11-13,7119.89013671875,1093.47998046875
2009-11-16,7237.10009765625,1109.300048828125
2009-11-17,7234.06005859375,1110.3199462890625
2009-11-18,7226.7099609375,1109.800048828125
2009-11-19,7117.64013671875,1094.9000244140625
2009-11-20,7084.47021484375,1091.3800048828125
2009-11-23,7186.330078125,1106.239990234375
2009-11-24,7170.259765625,1105.6500244140625
2009-11-25,7232.1201171875,1110.6300048828125
2009-11-27,7070.08984375,1091.489990234375
2009-11-30,7092.35986328125,1095.6300048828125
2009-12-01,7212.080078125,1108.8599853515625
2009-12-02,7222.419921875,1109.239990234375
2009-12-03,7157.0498046875,1099.9200439453125
2009-12-04,7182.7099609375,1105.97998046875
2009-12-07,7155.72998046875,1103.25
2009-12-08,7056.259765625,1091.93994140625
2009-12-09,7067.6201171875,1095.949951171875
2009-12-10,7104.5,1102.3499755859375
2009-12-11,7125.1201171875,1106.4100341796875
2009-12-14,7186.490234375,1114.1099853515625
2009-12-15,7141.43994140625,1107.9300537109375
2009-12-16,7180.77001953125,1109.1800537109375
2009-12-17,7063.75,1096.0799560546875
2009-12-18,7086.18994140625,1102.469970703125
2009-12-21,7147.14990234375,1114.050048828125
2009-12-22,7184.18017578125,1118.02001953125
2009-12-23,7217.2001953125,1120.5899658203125
