Phase,Year_Month,R1-RF,R2-RF,R3-RF,CMA,CRD,EG,HML,IA,LIQ,ME,MOM,Mkt-RF,RMW,ROE,SMB
Recovery,2021-01,2.2889296069572342,3.984728304303408,5.821735592637966,4.94,-1.951645048526407,-7.1561,3.01,6.4987,15.015732131286374,8.2266,4.5,-0.03,-3.78,-1.9992,6.94
Recovery,2021-02,-1.0421436545604013,-0.5564425767347836,-0.02386485460545984,-1.94,-8.288464352362412,-5.6844,7.15,-0.6657,9.41182698898091,4.3707,-7.89,2.78,0.39,-6.1829,4.54
Recovery,2023-05,-2.163320850554635,0.6196819747336816,3.472420695556249,-7.22,5.1519145361490715,1.7062,-7.72,-6.9667,-1.8303466613505792,-1.7025,-0.63,0.35,-1.81,-1.1789,-0.38
Recovery,2023-06,3.4374505538530946,4.272465628345401,5.135440512789513,-1.62,-1.804451519425665,0.2824,-0.26,-1.4515,5.313059737122328,2.6905,-2.37,6.46,2.18,4.2909,1.34
Recovery,2023-07,2.909245267757904,3.980937126317613,4.989045319370739,0.57,-1.377562172903235,-1.0095,4.11,-0.5918,3.4607698708253753,1.4887,-3.98,3.21,-0.57,-0.6995,2.86
Recovery,2023-08,-1.2566648934287212,-0.5727024883112548,0.03142843527028133,-2.37,3.701069126603529,5.0538,-1.06,-0.8323,-3.414224895711515,-2.3035,3.77,-2.39,3.43,5.1629,-3.65
Recovery,2023-09,-3.7969606751538407,-3.3839941170444785,-2.9904394682435695,-0.83,0.9355753544078472,3.0499,1.52,-0.5022,-0.1569036013944535,-0.1586,0.26,-5.24,1.86,3.3765,-1.8
Recovery,2023-10,-1.6185801111963067,-1.8866962609426403,-2.2277017950601294,-0.66,1.3323590548317998,4.6495,0.19,-0.3951,-4.991168852676797,-2.6272,1.73,-3.19,2.46,5.771,-4.04
Recovery,2023-11,6.219120073218205,7.213898188187802,8.225216941582577,-1.0,1.2266915475463325,-3.2768,1.64,-2.2334,2.4733164360813964,-0.7873,2.75,8.84,-3.91,-3.8269,-0.12
Recovery,2023-12,3.241594732466987,3.7038586050206015,4.164001016308069,1.32,-0.1549589799065498,-4.2574,4.94,0.4286,4.867058786899037,5.4177,-5.56,4.85,-3.07,-3.6554,7.32
