,credit_factor,Date
0,-0.01513498473655565,1990-10-11
1,0.036294817007595265,1990-10-12
2,0.007328206462671146,1990-10-15
3,0.014681934808984482,1990-10-16
4,0.014788820372184822,1990-10-17
5,0.018855422084516845,1990-10-18
6,0.005040688138047561,1990-10-19
7,0.01808527830606892,1990-10-22
8,0.009209338554893497,1990-10-23
9,0.010785947646878295,1990-10-24
10,-0.023155907888564385,1990-10-25
11,-0.02247625063737082,1990-10-26
12,-0.014381430293641686,1990-10-29
13,0.013480580679937626,1990-10-30
14,-0.005942157726827395,1990-10-31
15,0.009672400634898722,1990-11-01
16,0.012215309443925038,1990-11-02
17,0.017260774793952605,1990-11-05
18,-0.015387211482040149,1990-11-06
19,-0.001816449537608525,1990-11-07
20,-0.0005614553090141472,1990-11-08
21,0.017611503550247397,1990-11-09
22,0.02192371203559219,1990-11-12
23,0.013699214854032258,1990-11-13
24,0.005940254976090076,1990-11-14
25,-0.014003470830617919,1990-11-15
26,0.0029015753539071744,1990-11-16
27,0.007613298485696275,1990-11-19
28,-0.01373943189412487,1990-11-20
29,-0.014844594637514983,1990-11-21
30,-0.013340735404414893,1990-11-23
31,-0.012754788920054334,1990-11-26
32,0.020322769626081746,1990-11-27
33,-0.0028462626083234723,1990-11-28
34,0.007337292655099785,1990-11-29
35,0.007745016856349882,1990-11-30
36,0.013654741504464366,1990-12-03
37,0.005804819776427549,1990-12-04
38,-0.010248736788747928,1990-12-05
39,0.004185875327216904,1990-12-06
40,0.01029121730651142,1990-12-07
41,0.006780525816293248,1990-12-10
42,0.002824592509229595,1990-12-11
43,0.006026778487270245,1990-12-12
44,0.006404248660739223,1990-12-13
45,-0.0018524001657223678,1990-12-14
46,-0.015227147006218873,1990-12-17
47,-0.014206651066869223,1990-12-18
48,-0.0023116848553021915,1990-12-19
49,0.004433876270416441,1990-12-20
50,0.020692099660288635,1990-12-21
51,0.013339936968259178,1990-12-24
52,-0.009662742678650504,1990-12-26
53,-0.011829651260182308,1990-12-27
54,0.01238958659289897,1990-12-28
55,0.001604100527642897,1990-12-31
56,-0.010873651598949197,1991-01-02
57,0.00037147698094320593,1991-01-03
58,-0.002473221597148586,1991-01-04
59,-0.0025415029959073195,1991-01-07
60,0.007365689419660678,1991-01-08
61,7.058112336013602e-05,1991-01-09
62,0.015443405608244013,1991-01-10
63,0.0027324879892639767,1991-01-11
64,-0.01373752121947339,1991-01-14
65,0.01625862533554044,1991-01-15
66,0.030737997460974702,1991-01-16
67,0.0052976107952852,1991-01-17
68,0.003999657028588236,1991-01-18
69,0.00500841502202983,1991-01-21
