Phase,Year_Week,R1-RF,R2-RF,R3-RF,CMA,CRD,EG,HML,IA,LIQ,ME,MOM,Mkt-RF,RMW,ROE,SMB,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Depression,1990-41,1.0984955767901372,1.0984955767901372,1.1281197082754213,0.4253209204230446,2.061051076961351,0.6081,1.5740024482624682,0.761,-0.1264683374535669,-1.2234,1.7104634348473535,-4.07556839229054,0.5892677353259046,-0.4524,-1.1023952710305762,-1.1124068342633955,-0.3146768677440137,-0.62272585484153,0.5403207017414524,0.9135651355273686,-0.3125961027337821,0.5794764559962717
Depression,1990-42,3.9122774793925785,3.9122774793925785,4.294603448619472,-1.3829397088512163,6.211808183512413,0.7539,-1.9927959898091707,-0.4935,3.069057833407029,-2.2778,2.410622238756943,3.465348245953015,1.279900688654534,2.322,-2.5130912350567747,-0.7239393088218788,-2.7677944111158865,-0.40368675116912545,-2.389257316663887,0.7482091299746142,-1.5376042135764245,-0.4514974210881601
Depression,1990-43,-1.6094526302564471,-1.6094526302564471,-1.625234601288661,0.3159921510776708,-0.8307142212954588,0.8146,-0.270379471452109,-0.0047,-0.1419848907206367,0.8671,1.186042893365813,-2.1083050319161245,0.3281760955496926,-0.5484,1.013630725792436,-0.05854744969537046,0.48835224963452906,0.6772892926875802,0.4853839708674619,-0.23648122875246405,0.6256501372788323,0.052838359540007526
Depression,1990-44,0.4388515950760397,0.4388515950760397,0.4811237649205325,0.6002234344038015,1.4820779670146944,0.2906,0.46898691933559,0.6343,0.1065282410977142,-2.2285,0.280653970295952,1.8563310926407617,-0.6882957258863232,0.3506,-2.568382065341357,-0.6324801311779991,-0.9300275157189757,-1.9836496453634043,0.049697385292897994,0.4354101150997313,-0.7267849520275573,-0.36101611328046346
Depression,1990-45,1.2567211959825242,1.2567211959825242,1.4254279522923683,-1.464211796807402,1.6825155630791675,-0.6426,-0.3321160580323723,-0.9143,0.2541590384347536,-0.3451,-1.127028493116744,0.8767834469596947,0.0482078531782281,-0.2881,-0.3040230165985202,1.1649376585050712,-1.0945471565942115,-0.15311941880419236,-0.2545997573597142,-0.06415421077452375,-0.1963342815405498,0.3950599824322394
Depression,1990-46,3.021794871392092,3.021794871392092,3.1483750996159854,-2.2656513818180457,3.046554209268293,-0.0908,-0.5115138192249846,-2.3142,3.290718649516422,1.0547,-3.779048507010474,1.423739224488041,0.5092563589124799,1.0124,0.9898202684389013,2.163023524724506,-1.1966496554611383,1.220756703731381,-1.6738435196583312,0.4928134532397007,0.14311409387279164,0.8546826506709432
Depression,1990-47,-1.1589148482999745,-1.1589148482999745,-1.2076317371061407,-0.3202843298654279,-3.4043646613363343,0.3693,-0.6489143161120037,-0.1957,-0.9268416918619792,0.7376,1.8200854768486872,-0.6955667168365043,0.7014494310549679,0.5886,0.5182174902135905,-0.21560378960944132,0.6068883104342566,0.42536189834762494,-0.03635945675209613,-1.3977058085945768,0.5211224713440155,0.38188170175913594
Depression,1990-48,3.831072994352258,3.831072994352258,4.027101770533625,-0.3703758461569451,1.9648083301194497,-0.3149,-1.2862279345034255,-0.1613,3.27871114581777,-0.03,-1.0369360788605286,2.2383690242894216,-0.33987087444175,0.0926,0.0939186878230469,1.162299594211318,-0.6120258387723221,0.00997310729442908,-0.4011909520452327,0.3703214733691468,-0.5923795866771167,-0.45282218680440633
Depression,1990-49,2.708833956243084,2.708833956243084,2.734066326259988,-1.5032565673172904,2.374199594041637,-0.4365,-0.1106844975075405,-1.8637,1.7961304286311377,0.9475,-3.2494405471089283,1.976485103430892,1.6703370596682143,1.5511,0.9404983241937392,1.3868277242360105,-0.5294108331542653,1.0739389268002961,-1.8622518710821216,0.27012189088777666,-0.08601323608319465,0.6735802252479909
Depression,1990-50,-0.2311166601984715,-0.2311166601984715,-0.1149024155702615,-0.1614131028968568,2.032035651197406,1.2326,-0.7197805465299023,0.3985,-0.7293538195447535,-0.2152,1.0712406396396368,-0.3588805549637475,0.2084396719459036,0.9052,-0.283079617900539,-0.7327751089619214,-0.6380529400179382,0.27250480358716306,-0.20667137408915395,0.42691176947454773,0.05465113647519483,-0.31320521902012505
Depression,1990-51,2.0806299271462825,2.0806299271462825,2.051896933111075,-0.8199438204108733,-0.7037282692340718,0.1166,-0.1304067351927451,-1.431,3.124770411116784,-0.7861,0.2684557730771475,1.2090491801864278,0.2901979991657644,0.5741,-1.078347475388486,0.6679871792052468,-0.7755406891961504,-0.5933937660609175,-1.0991526717689195,-0.645570141735013,-0.1835265004935579,0.7300087964458143
Depression,1990-52,-1.1167142647711017,-1.1167142647711017,-1.118010089735233,0.6009721325503703,0.3963131516648843,0.305,-0.1101109288919155,0.9383,-0.5576244621783966,0.6149,1.6586847809147989,-0.809787962809605,0.2401429987924253,0.7614,0.3290429369895431,-0.6225867144050335,0.5107362296640533,0.3983606193390323,0.34964408937309643,0.08596664721062519,-0.35153771859642396,-0.29525637767204543
Depression,1991-02,-1.3112680603689977,-1.3112680603689977,-1.3305333863520952,-0.1238292226781512,2.3183317784342794,0.5111,-0.3610579634316102,-0.1125,0.5077804677164899,-0.0214,2.4014543272807387,-1.9255860136796257,0.4792639444359814,0.8689,-0.0831300825628766,-0.5644362126755303,-0.59944610030957,0.6363253118997153,-0.19161674075603247,0.2883529002032787,-0.5089927194107404,0.21175617224796264
