Phase,Year_Week,R1-RF,R2-RF,R3-RF,R4-RF,R5-RF,CMA,CRD,EG,HML,IA,LIQ,ME,MOM,Mkt-RF,RMW,ROE,SMB
Recovery,1991-14,0.06408270009481411,0.15166549532361628,0.24009343302513475,0.351809112551682,0.4865006838373098,-0.570729966312844,1.1502208553572535,-0.5419,-0.8695604951632796,-0.2831,1.4720177872536988,1.9119,0.8919330334654862,0.5131366110453728,-0.0324568893573795,0.4557,1.521326312338411
Recovery,1991-15,0.264304806086213,0.44674475671482305,0.6255240672546458,0.8104155940207525,0.9945000119352398,0.6213853327045715,2.298819669421115,0.2974,0.2694597884262961,0.7554,1.1556843940289552,-0.6018,0.5301509009708827,1.069283715545022,-0.1601837553074969,1.1641,-0.2052302878565726
Recovery,1991-16,0.3974106520802323,0.6191959812559711,0.907171529579065,1.2308161475867996,1.5897118556235545,0.3698527290994846,-0.3181410995962253,0.1628,1.181053898191542,0.0403,0.7263443151702909,-0.6797,-2.540450306928743,0.8231787679678026,0.4385830336026242,-0.9019,-0.383024565109713
Recovery,1991-17,-0.4612407672706098,-0.38507164867765953,-0.40058027553503406,-0.4282018946244137,-0.4030485567448783,-0.1202179231172273,-1.5943598199590348,0.7819,0.1093923877888425,-0.2596,-1.9432225360529132,-0.6371,-0.7584052920748818,-1.5070456704210369,0.4101313091587233,0.1809,-0.0436275190847545
Recovery,1991-18,0.8211126904234645,1.1388145719983145,1.5248399285685776,1.8989558481513402,2.2747169701816894,0.149087925191238,-0.7477096323558974,-0.9039,0.3583680655928623,0.0811,-1.7895227248994172,-0.6211,0.498411744679017,0.2841982120403763,0.1498998500230719,0.3691,-0.4279787924079459
Recovery,1991-19,-0.007061887304504716,0.12649650151783656,0.3197416140262588,0.47218546161074126,0.5709690769343467,-0.1902147943284582,0.5336475279265285,1.181,-0.3112472440798486,-0.1435,2.8049166017312777,0.9044,0.1187132875289043,-1.0271429598166404,0.1285485804750408,0.0872,1.1998984367178167
Recovery,1991-20,-0.6589407221085142,-0.6376696761777434,-0.6798047824350784,-0.7352781944503062,-0.7928397792398179,-0.3016532031598906,-1.3060057430794858,-0.5579,0.5873455787391846,-0.2405,-2.839994765710474,-0.6109,-0.3826056671733968,-1.2203356562811352,0.360012261240783,0.4603,-1.009088148207371
Recovery,1991-21,-0.21478464412940654,-0.06962074027216933,0.19733026587693828,0.48750850669003754,0.7559631873111483,-1.1947043724915063,4.459102318385688,-0.3892,-0.6089774068536835,-0.6087,2.8516329468858848,-0.2377,1.2337901427691644,1.4452249891562683,0.7815977844462196,0.8735,-0.1017117520317301
Recovery,1991-22,0.9692227694040545,1.1309772406518315,1.3617176798894848,1.5599488889160629,1.7539573575149126,-0.4095261180459886,0.832738990135562,-0.4323,0.1882194962143035,-0.7266,1.387666509607488,-0.69,-2.2921096596255963,3.031909753441719,0.5708339763776049,-2.079,-0.2216001880000151
Recovery,1991-23,-0.42433026696014897,-0.3073963163791493,-0.006687298076424292,0.2951226084395575,0.6220298200368957,0.5193232102893797,-2.556100142495199,0.4398,1.2147481007645178,0.3773,-0.5940249649169949,2.1869,-1.254717215503609,-2.212431468960818,-0.0603699132974422,-0.2838,1.8931530801879148
Recovery,1991-24,-0.11249405213349381,0.12332132663868126,0.3504269602214505,0.5725211969307864,0.8256475119163831,-0.3098169129246542,2.876253847974408,-0.2253,-0.1901879915812698,-0.3511,-1.269019437334662,-1.606,0.320079863030398,0.327225184811386,1.2746388471015058,0.3623,-1.0965421012576693
Recovery,1991-25,-1.0607625856880243,-0.9640969657646714,-0.879318243333227,-0.8071386900397881,-0.77063581970227,-0.0105928213001482,-1.877712623941441,-0.1984,0.3001197197902261,0.0958,-1.7415786307192538,-0.1741,0.4501112798539486,-1.33826695251833,0.6314013240535932,-0.018,-0.1417507408768337
Recovery,1991-26,-0.19279647012707676,0.07753535881356302,0.35437283747103976,0.6346965096574619,0.9525040899865722,0.5302897344469759,-0.7574203681623204,0.4813,-0.1312284711991185,0.5014,-2.2256041972967044,-0.3739,0.1092315046389957,-1.783835456888394,0.0298399748532851,1.3461,-0.4449332333092304
Recovery,1991-27,0.41648520698100994,0.5005189527910403,0.4984183623850669,0.4656391794606974,0.41483707048022295,-0.5202012529726185,0.3973309166017458,-0.0427,-0.6786061013191902,-0.1627,-0.5379796397406822,-1.0458,1.163857702889981,0.6742307887870336,0.9025834847030012,0.4139,-1.0313339501906271
Recovery,1991-28,0.7383726426828163,0.7994668104275737,0.8065557411696123,0.8703156620082586,0.9662151629975968,-0.8281346380845434,4.393798591894749,0.1626,-0.7280034806048996,-0.7582,3.2677156767541904,0.3694,1.833228552630661,1.7586081513458085,0.6714700540292551,0.1991,0.3951672345340551
Recovery,1991-29,0.4734880361576988,0.5406691640943428,0.6137547065000248,0.6798292215782764,0.778235552228046,0.5403028379344255,0.0360026541524005,-0.0133,0.801707759280168,0.2596,-1.224348417316623,1.0685,-0.2511079750766698,0.998612718572378,-0.3201706317860986,0.4736,0.6301345944463854
Recovery,1991-30,-0.1910910867379378,-0.10165109136517353,-0.10671853529669034,-0.14161934199881093,-0.19097801982396184,0.2992003800587284,0.4406472070415557,0.4435,0.5108023382690563,0.5382,-0.4875683738007619,-0.5523,0.3298839130059017,-0.982004980698914,-0.0703605734019952,0.7044,-0.4304645021877773
