Date,RF_HXZ,Mkt-RF_HXZ,ME_HXZ,IA_HXZ,ROE_HXZ,EG_HXZ
1968-07-26,0.1125,-2.697,-1.3846,1.1592,-0.2831,0.6873
1968-08-02,0.1059,-1.8635,-0.9455,-0.1528,-0.3944,0.4766
1968-08-09,0.0993,0.6219,0.7113,-0.3761,-0.7855,-0.1727
1968-08-16,0.0993,1.6356,0.9189,-0.4702,-0.0887,0.5039
1968-08-23,0.0993,0.0573,0.3491,0.3147,-0.3425,0.7391
1968-08-30,0.0993,0.133,0.3691,0.7889,0.4413,0.2659
1968-09-06,0.0987,2.1209,-0.3608,0.376,-0.7628,-0.0918
1968-09-13,0.0987,-0.2126,1.0157,-0.313,-0.4396,0.3938
1968-09-20,0.0987,0.8878,-0.4068,-0.6716,-1.3998,-0.8556
1968-09-27,0.0987,0.8008,0.7016,-0.064,-0.5314,-0.7543
1968-10-04,0.0978,1.1792,0.2226,0.6663,-0.2458,0.2495
1968-10-11,0.0975,-0.5032,0.2556,0.2627,0.2634,-0.462
1968-10-18,0.0975,1.531,-0.6443,0.6761,-0.0773,1.2669
1968-10-25,0.0975,-0.5143,0.5937,0.3451,0.0613,0.7405
1968-11-01,0.0993,-1.2018,-0.8255,0.7918,0.4171,0.9855
1968-11-08,0.1047,0.9885,0.063,0.4494,0.3401,0.0947
1968-11-15,0.1047,1.9762,1.7588,-0.9427,0.1213,-0.11
1968-11-22,0.1047,0.8449,0.8001,-0.8598,-0.6122,-0.2426
1968-11-29,0.1047,1.911,0.1991,0.0268,-0.3894,-0.7826
1968-12-06,0.0943,-0.3192,1.1199,1.0676,0.8351,-0.4342
1968-12-13,0.0943,-0.1331,0.8994,0.3829,-1.2721,-0.6014
1968-12-20,0.0943,-1.1037,0.5654,0.3051,0.0784,-0.1204
1968-12-27,0.0943,-1.4569,0.8638,0.3511,-0.3989,0.1283
1969-01-03,0.0927,-0.8959,-0.0587,0.9751,-0.1115,-0.3299
1969-01-10,0.114,-3.2693,-1.1848,-0.4535,-0.2244,-0.0408
1969-01-17,0.114,1.0608,0.5607,0.5547,0.8102,0.6968
1969-01-24,0.114,0.5178,0.7961,0.2305,-0.4122,-0.1142
1969-01-31,0.114,0.4299,-0.5992,0.4448,-0.1315,0.3833
1969-02-07,0.1281,0.44,-0.8338,0.0125,-0.3025,0.765
1969-02-14,0.1025,-0.0542,-0.1831,0.0555,0.8188,0.5075
1969-02-20,0.1025,-4.1736,-1.3721,0.4481,0.0267,0.4094
1969-02-28,0.1281,-2.1241,-1.6201,0.3452,0.5416,0.7331
1969-03-07,0.1198,0.1172,-0.8199,0.2893,0.195,0.9078
1969-03-14,0.1198,-0.7785,-0.2233,0.8715,0.3349,0.655
1969-03-21,0.1198,1.6351,0.881,-0.9289,0.7145,0.2197
1969-03-28,0.1198,1.6809,-0.0466,0.0586,0.7005,0.7003
1969-04-03,0.0693,-0.9267,0.3704,0.3047,0.5931,0.0051
1969-04-11,0.1155,0.667,-0.6655,0.0413,0.3172,0.252
1969-04-18,0.1155,-0.6325,-0.0746,0.6081,0.0104,-0.0595
1969-04-25,0.1155,0.366,-0.3372,-0.4038,0.1778,0.0538
1969-05-02,0.1189,2.4215,0.6558,0.2993,0.6537,-0.262
1969-05-09,0.1239,1.1233,0.0402,0.0709,-0.1226,-0.1054
1969-05-16,0.1239,0.5954,-0.6595,0.5646,0.4935,-0.0255
1969-05-23,0.1239,-1.1493,0.6821,0.6059,0.3565,0.4056
1969-05-29,0.0991,-1.0397,0.1846,-0.1855,-0.612,-0.4865
1969-06-06,0.1221,-1.5327,-0.437,0.0043,0.9186,-0.0709
1969-06-13,0.1221,-3.8251,-1.3096,0.0002,0.0981,0.252
1969-06-20,0.1221,-2.726,-2.4575,0.5974,1.5982,2.3637
1969-06-27,0.1221,0.2691,-1.0214,-0.8597,1.0698,0.2376
1969-07-03,0.1031,2.5338,1.1853,-1.3299,-0.6763,-0.7313
1969-07-11,0.1312,-4.1266,-0.4519,1.8285,1.1697,2.1775
1969-07-18,0.1312,-1.0143,-0.6374,0.3218,0.2375,0.5503
1969-07-25,0.1049,-3.5217,-0.51,1.35,1.4226,1.8292
