Year_Month,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM,ME,IA,ROE,EG,CRD,LIQ
1994-04,0.68,-1.01,1.66,1.07,1.11,0.27,0.39,-0.819,1.2741,1.529,1.5131,2.575662279279056,-0.1265284576220882
1994-05,0.58,-2.56,0.67,0.6,0.68,0.31,-2.19,-1.9848,0.512,-0.7588,1.4199,0.770925309920556,-1.5862905375770286
1994-06,-3.03,-0.5,1.67,1.21,1.47,0.31,-0.87,-0.8441,0.9202,0.1932,1.3288,-3.3448876604309175,-0.7372665706571024
1994-07,2.82,-1.85,0.58,-0.65,0.14,0.28,0.18,-1.4321,0.4259,0.7148,-0.0945,-3.741503162664928,-1.6062950009669177
1994-08,4.01,1.37,-2.51,0.95,-1.47,0.37,1.55,2.0904,-0.6915,2.061,2.6805,5.388256267947544,6.121481082977009
1994-09,-2.31,2.8,-1.89,0.52,0.93,0.37,1.31,2.2081,0.5879,1.0911,0.9738,2.0915833120396465,0.578867558445606
1994-10,1.34,-2.3,-1.62,0.23,-0.68,0.38,1.49,-1.8201,0.1613,0.3556,2.448,5.2747556624840986,2.7644388227101357
1994-11,-4.04,0.07,-0.7,0.42,-0.5,0.37,-0.18,0.5354,-1.0042,1.3703,1.4457,5.069328683320351,0.8404963539789145
1994-12,0.86,0.0,-0.13,0.37,0.38,0.44,3.48,1.1739,1.2933,3.9844,3.7209,-0.3192444968756369,-3.640147651361691
1995-01,1.8,-3.06,2.57,0.17,-0.75,0.42,-1.81,-2.4308,-0.0027,-0.063,1.1177,1.861110599851323,0.0170557371322432
1995-02,3.63,-0.54,1.08,0.59,-0.33,0.4,-0.39,-0.6967,-0.8485,0.5097,1.2099,2.8423882400282707,2.4127505509701885
1995-03,2.19,-0.51,-2.15,-0.17,0.22,0.46,0.43,-1.2145,0.1685,1.2654,0.7805,3.834714908188319,2.1712374098660447
1995-04,2.11,-0.22,1.71,0.41,0.9,0.44,1.79,-0.0076,0.0068,0.142,3.4497,1.004048050387918,2.504627686726524
1995-05,2.9,-2.19,2.29,0.39,0.04,0.54,-0.42,-2.2038,0.8586,-1.0066,1.4624,-0.8499719897440805,2.214564845232503
1995-06,2.72,3.06,-2.54,-0.33,-2.44,0.47,2.93,3.219,-1.7465,2.1275,1.8099,7.692012593753672,5.75648301549212
1995-07,3.72,2.09,-1.62,0.3,-1.65,0.45,2.56,1.7624,-2.5443,0.9451,0.3138,6.728637091865752,6.140070551729404
1995-08,0.55,1.75,2.79,-1.24,1.62,0.47,0.16,2.3538,2.1996,0.1383,1.2954,2.262388257627612,1.079505853833207
1995-09,3.35,-1.88,-0.04,1.03,0.36,0.43,2.9,-0.7905,1.9328,1.3917,3.123,3.866701871611,-4.475997015030475
1995-10,-1.52,-4.04,-0.5,1.91,-0.05,0.47,4.16,-5.0247,0.7822,2.7798,4.4585,5.436352296462554,-5.939429477994973
1995-11,3.96,-1.07,0.51,-0.62,1.12,0.42,-0.68,-0.7575,1.1261,-0.2398,-1.2715,-4.134244275908072,-1.1071921427004194
1995-12,1.03,0.72,0.22,-1.37,3.1,0.49,2.52,0.6315,3.1163,0.2794,0.4029,-7.839359044980165,-7.59355070860771
1996-01,2.26,-2.56,0.38,0.18,2.31,0.43,0.54,-2.6865,2.451,-1.5087,1.4014,2.2269252888223345,0.2435433558235056
1996-02,1.33,1.77,-1.08,0.24,-1.9,0.39,0.59,2.7354,-0.9876,3.1394,0.7364,2.326221922554028,4.01513457408369
1996-03,0.73,1.61,0.35,1.42,-0.95,0.39,-1.84,1.873,-0.6897,0.2756,-1.3301,2.288332013690453,-0.4769071704268879
1996-04,2.06,4.71,-4.02,-0.14,-2.11,0.46,-0.88,5.1852,-1.8073,2.8673,1.1731,7.66499947032091,9.056446478461954
1996-05,2.36,3.21,-0.83,0.12,-0.3,0.42,1.54,4.4631,1.0265,1.864,-1.4379,6.699384203288039,2.3152258150307192
1996-06,-1.14,-3.65,2.35,3.51,1.22,0.4,0.98,-4.2992,1.7381,0.866,1.6996,0.8659597510003891,-8.747281838605492
1996-07,-5.97,-3.81,5.14,2.95,2.6,0.45,-0.16,-3.3585,2.0165,2.415,2.9393,-1.441298936694979,-2.6307848604368633
1996-08,2.77,2.57,-0.74,-0.37,-2.42,0.41,0.01,2.4811,-1.8529,0.1305,-1.3704,2.4421789729730525,6.124460912850216
1996-09,5.01,-1.39,-2.72,1.27,-2.22,0.44,2.7,-1.4457,-1.7381,2.2071,2.9315,2.8645544826336744,4.5326228188907525
1996-10,0.86,-3.77,4.94,1.4,3.25,0.42,3.79,-2.4195,3.6633,1.8831,3.2184,4.169968632535692,-2.144743160345075
1996-11,6.25,-3.8,1.39,2.12,-0.79,0.41,-2.37,-3.5327,-1.3109,0.8165,5.389,-1.0622693846109366,6.730712975230735
1996-12,-1.7,3.25,1.31,0.37,1.49,0.46,0.63,3.3237,1.2254,0.9371,1.7538,-0.5023936771914594,-1.5014577612847857
1997-01,4.99,-1.82,-1.42,1.19,-0.02,0.45,1.96,-0.795,-0.6466,1.8159,2.5674,3.0717862045438693,3.934201014730676
1997-02,-0.49,-2.59,5.67,0.67,3.47,0.39,-2.13,-2.4667,2.9153,-1.5374,0.6426,1.5464127370933722,-3.882613262804002
1997-03,-5.03,-0.43,3.39,0.5,1.66,0.43,0.9,-0.5279,1.7515,1.7708,0.2068,-4.53792634683976,2.485234052483243
1997-04,4.04,-5.7,0.07,3.26,-0.72,0.43,4.84,-4.7258,-1.8801,3.8599,2.9932,6.266140223134675,0.4885939804601502
1997-05,6.74,4.75,-4.13,-1.02,-2.96,0.49,-5.17,5.0194,-3.2305,-0.2201,-1.4972,-0.5114666631915399,3.8615321637921474
1997-06,4.1,1.19,1.58,0.56,0.66,0.37,2.6,1.0326,0.2313,2.1092,0.1107,-0.1460703323589274,-2.931719276110911
1997-07,7.33,-2.76,0.26,0.07,-2.58,0.43,3.77,-1.4173,-3.0399,1.2853,1.2829,-1.0392154655299524,9.104892956045884
1997-08,-4.15,7.61,1.18,-1.11,-0.04,0.41,-2.56,7.4961,-0.7059,-1.4198,0.4401,-0.4205561017029957,6.75948375678832
1997-09,5.35,2.49,0.37,-1.63,-0.91,0.44,1.47,2.435,-0.1259,-1.0418,-2.6061,1.80948797736904,-0.7590388478233456
1997-10,-3.8,-0.52,2.27,1.0,1.94,0.42,-0.57,-1.0927,2.6609,-1.0477,-1.4187,-1.894113731708713,-6.165645343652681
1997-11,2.98,-5.11,1.2,2.81,1.84,0.39,0.33,-5.5217,2.8803,1.4029,3.6732,0.8018174063508132,-4.80542760398992
1997-12,1.32,-2.03,3.84,0.74,1.92,0.48,3.98,-2.2245,2.2364,1.5724,-2.3996,-1.7037150367385734,-6.40105241695641
1998-01,0.15,-1.36,-1.63,0.87,-0.73,0.43,0.14,-1.216,-1.2061,2.1884,2.5942,5.152032582996791,4.00907923801701
1998-02,7.04,0.2,-0.85,-0.31,-2.54,0.39,-1.12,1.0586,-2.453,1.1388,-0.2956,3.4671032824787673,4.091251671337726
1998-03,4.76,-0.65,1.39,-0.26,-0.37,0.39,2.15,-0.3378,0.4996,-0.1759,-1.0612,3.2782596068660297,-4.694382302083866
1998-04,0.73,0.0,0.94,-1.69,-0.36,0.43,0.74,0.4968,0.1834,-0.1992,2.2959,-1.336424401649039,4.4135465189546474
1998-05,-3.07,-2.95,3.44,1.1,2.61,0.4,1.82,-2.6343,2.2554,1.7795,1.0564,4.273999970746245,-8.363523948599349
1998-06,3.18,-3.66,-1.96,-0.26,-2.97,0.41,7.28,-3.2841,-1.5159,3.159,0.4225,7.233091834586891,-4.075763377245211
1998-07,-2.46,-5.27,-1.78,1.74,0.45,0.4,3.69,-5.7045,1.8848,0.9703,2.8077,6.4215935018733905,-2.0050733147938704
1998-08,-16.08,-5.17,3.53,3.37,5.91,0.43,1.84,-6.1863,5.4604,3.0578,6.7132,-3.7699406145583536,-8.638626580189934
1998-09,6.15,-0.78,-3.42,-1.88,-2.99,0.46,-0.81,-2.0592,-3.0812,-1.8265,1.275,8.027025332123516,4.3896849177258
1998-10,7.13,-3.43,-2.23,0.93,0.31,0.32,-5.37,-2.1688,-0.9612,0.6389,-0.5144,-3.4426361058514376,4.938407322315452
1998-11,6.1,0.75,-3.25,-0.86,-1.18,0.31,1.2,0.8958,-0.0254,1.3699,1.2936,10.293348142071812,4.05407687459125
1998-12,6.16,-1.56,-4.19,-0.76,-3.39,0.38,8.92,-1.8735,-2.9332,2.9291,-2.2555,11.762436159829017,6.320735042675452
1999-01,3.5,-0.75,-4.6,-2.77,-6.8,0.35,3.03,-1.8912,-4.4699,-3.2508,-1.0681,18.94826500480371,8.212511069452532
1999-02,-4.08,-5.22,1.92,-1.23,4.1,0.35,-0.1,-4.2284,4.8135,0.016,0.0109,-3.554550362365494,-6.006471777896627
1999-03,3.45,-4.23,-2.74,-4.07,-1.42,0.43,-1.27,-5.5833,0.3158,-0.6922,0.4002,1.734250739323695,2.6757078711187265
1999-04,4.33,4.52,2.46,-2.53,0.89,0.37,-9.04,3.9806,2.6555,-5.152,0.4435,-12.086954679245554,1.1767178671989065
1999-05,-2.46,3.71,2.35,0.93,3.34,0.34,-5.19,4.945,0.4504,0.6804,1.8903,-0.6948369837933566,-1.294200171358617
1999-06,4.77,2.29,-3.19,1.13,-3.21,0.4,5.06,3.1512,-2.1112,2.391,4.329,17.907053552489806,8.020021409811505
1999-07,-3.49,2.57,-0.44,0.36,3.22,0.38,1.66,2.264,3.4338,1.0281,1.9786,1.8092071912667815,3.648717603568796
1999-08,-1.38,-1.73,-1.87,-0.24,0.64,0.39,3.12,-1.5497,-1.1989,-0.0297,4.6299,-0.0191767493953665,2.801749129146369
1999-09,-2.79,2.59,-3.49,-0.75,-1.23,0.39,6.47,1.7307,-1.3826,-0.1695,-1.0359,1.046888977179905,3.1382076667684444
1999-10,6.12,-6.91,-3.37,-1.74,-1.19,0.39,5.5,-5.6493,0.3316,2.0317,1.7882,4.9821476456901825,-2.136363643520156
1999-11,3.37,5.8,-6.12,-4.28,-1.74,0.36,5.64,5.7518,-3.931,-3.0073,1.1586,0.328297094667751,9.90455549296736
1999-12,7.72,5.39,-8.33,-7.6,-5.63,0.44,13.22,4.1765,-5.4904,-5.4444,-0.6029,12.724433546132351,12.880978718121884
2000-01,-4.74,4.42,-1.88,-6.29,4.72,0.41,1.92,5.6171,2.9355,-4.9998,0.6319,8.865629818250342,3.654747393231217
2000-02,2.45,18.28,-9.59,-18.65,-0.48,0.43,18.2,22.1445,-5.3931,-7.5531,-3.1144,28.373960332251393,26.96077667224923
2000-03,5.2,-15.32,8.13,11.79,-1.59,0.47,-6.83,-14.402,1.835,7.6849,3.5075,0.3455895168650524,3.195119718861972
2000-04,-6.4,-5.01,7.26,7.66,5.65,0.46,-8.39,-4.8609,3.7873,8.7094,5.1049,-2.945694221052908,-2.4159092570433804
2000-05,-4.42,-3.81,4.75,4.13,1.37,0.5,-8.98,-4.595,0.5085,0.0196,3.7037,-8.649408958366989,-10.235055822845352
2000-06,4.64,9.92,-8.42,-8.31,-2.95,0.4,16.6,10.2649,-3.3905,-4.7546,-1.8045,12.422230174840475,5.913770426212528
2000-07,-2.51,-1.03,8.31,5.83,2.94,0.48,-0.05,0.995,2.2468,3.4292,3.2749,-9.18841623559078,-0.9987702910281948
2000-08,7.03,-1.03,-1.39,-3.22,1.1,0.5,5.73,0.4492,-0.7996,-2.082,-1.098,9.867643138821226,7.417307915948346
2000-09,-5.45,0.19,7.17,2.56,5.53,0.51,1.97,1.6354,5.2247,2.1026,0.7955,-8.281128936886816,-12.53467000772146
2000-10,-2.76,-2.65,5.71,9.61,3.8,0.56,-4.48,-2.223,2.9226,7.3215,6.4705,-8.1002747292929,-4.909302378413438
2000-11,-10.72,-0.58,12.3,13.07,8.43,0.51,-2.32,1.5397,7.4487,10.3593,10.9018,-8.477183134558853,-16.017113269857596
2000-12,1.19,3.26,7.61,1.71,4.79,0.5,6.74,4.6807,6.3542,5.186,0.5126,-0.3651321911691596,-0.5502301513176322
2001-01,3.13,5.48,-5.07,-4.69,-5.03,0.54,-25.3,2.7241,-7.1285,-10.7883,-6.1594,11.25585953096413,20.911813035484883
2001-02,-10.05,2.83,12.47,9.1,9.07,0.38,12.57,2.8959,9.2309,5.2077,6.3589,-12.589325817944983,-10.98363085824634
2001-03,-7.26,2.33,6.42,3.35,3.92,0.42,8.55,2.962,3.7704,3.474,2.6585,-0.4891916046584343,0.6023141355764094
2001-04,7.94,-0.86,-4.67,-3.06,-3.2,0.39,-7.9,-0.9199,-3.754,0.0915,-5.4515,9.528273011742773,11.433976652404066
2001-05,0.72,3.6,3.36,0.25,1.91,0.32,2.21,4.3577,2.3804,-2.5165,-0.2513,-3.5989858248698936,-4.861951925073149
2001-06,-1.94,6.57,-1.12,1.6,-1.51,0.28,0.38,6.711,-1.7973,-0.806,1.9723,4.837075569895211,1.9945283343536069
2001-07,-2.13,-2.82,5.21,7.42,3.07,0.3,5.58,-2.1452,1.3768,3.8735,5.5121,1.0016911653210947,-2.995297195767521
2001-08,-6.46,2.71,2.31,4.05,6.57,0.31,5.53,2.3699,5.641,4.3155,5.6455,-10.318577591598988,-2.3765477120463396
2001-09,-9.25,-5.73,1.45,4.99,3.21,0.28,11.48,-4.9253,2.8644,9.192,5.7667,-1.8455380670324928,-13.367239196455872
2001-10,2.46,5.27,-7.65,-2.98,-4.55,0.22,-8.47,3.4861,-2.9867,-4.3754,-0.5555,7.654379969143199,15.88188587631798
2001-11,7.54,-0.31,2.21,-3.73,-1.61,0.17,-8.69,-1.3907,-1.1391,-8.4893,-2.9927,4.47579510536722,8.955893979220031
2001-12,1.6,5.16,0.84,0.34,-0.26,0.15,0.07,5.3201,-0.1753,0.5419,-2.257,0.2788783957302643,0.2130709200282243
2002-01,-1.44,1.26,3.44,4.69,2.84,0.14,3.75,0.7237,3.2498,0.3033,4.2877,-1.6967356287292068,-1.762042546560283
2002-02,-2.29,-0.36,2.16,8.07,5.11,0.13,6.82,-0.4922,4.4456,5.3235,3.7643,5.282646821805637,-8.136813727282178
2002-03,4.24,4.25,1.06,-1.78,0.58,0.13,-1.64,4.6097,0.7761,-4.7001,-0.5528,-4.538741107757039,4.916480646263444
2002-04,-5.2,6.72,3.88,4.56,5.38,0.15,7.63,7.5846,4.0731,5.4639,4.0819,4.052599889454145,-7.988180639177534
2002-05,-1.38,-3.02,1.53,2.36,2.44,0.14,3.16,-3.1795,2.1865,1.8111,0.6156,2.8331831576041244,-2.4435859804026516
2002-06,-7.21,3.89,-0.05,3.93,2.51,0.13,6.03,3.5661,3.5485,4.9409,0.5052,4.365270230608931,-7.891804986806705
2002-07,-8.18,-6.43,-3.85,3.79,-0.99,0.15,3.77,-6.3911,1.9786,6.7016,4.9683,5.823910273196553,-6.534838382829844
2002-08,0.5,-1.31,3.28,1.36,-1.47,0.14,1.9,0.0007,-0.8574,2.5491,-1.7192,-3.7631694943890626,0.0240048063535391
2002-09,-10.35,3.08,1.47,3.29,-2.19,0.14,9.13,3.12,-2.1364,4.4049,1.1299,7.381920536988251,-3.728262023125694
2002-10,7.84,-4.31,-3.95,-3.39,0.76,0.14,-5.58,-5.1206,0.2843,-4.5614,1.5123,4.670856486059671,7.8012387480015155
2002-11,5.96,2.91,-1.23,-9.2,5.15,0.12,-16.33,1.496,3.2719,-11.1725,-3.1022,-6.994525216634151,16.044160891285088
2002-12,-5.76,0.62,2.14,6.29,-1.68,0.11,9.64,0.0671,-2.2589,5.3188,2.2776,0.3636012080708184,-8.250662413890819
2003-01,-2.57,0.7,-0.83,-0.99,0.69,0.1,1.55,-0.9824,0.6982,-0.589,0.7808,-0.219967007880717,-0.5423742978839852
2003-02,-1.88,-0.93,-1.39,0.83,-0.62,0.09,1.17,-2.0245,-0.1272,0.8778,1.3997,3.151067725467094,2.74452708552686
2003-03,1.09,0.65,-1.93,1.87,-0.77,0.1,1.48,1.4039,-0.1257,3.4092,-0.9347,-0.4241944420874333,1.5334875567814654
2003-04,8.22,1.02,1.14,-4.68,1.06,0.1,-9.33,2.3547,1.0369,-4.4513,-2.9391,-2.9758454519581035,4.178851817744311
2003-05,6.05,4.81,0.4,-7.0,2.91,0.09,-10.7,3.8174,1.848,-8.2331,-1.6245,-6.516850299290455,7.406366821655075
2003-06,1.42,1.66,0.11,0.51,-0.38,0.1,-1.0,2.221,-1.0629,1.0948,-0.1291,0.9902220552252984,-1.806959322554136
2003-07,2.35,4.54,-1.24,-4.14,1.78,0.07,-0.24,4.3762,2.3405,-1.7422,-0.8789,2.956000730623698,2.429117216067822
2003-08,2.34,2.48,1.53,-2.25,2.14,0.07,-0.62,2.2397,2.3621,-1.2384,-1.6327,0.7192431907902197,4.993423190963142
2003-09,-1.24,0.54,0.16,1.01,0.34,0.08,-0.19,0.6889,0.2279,1.2631,2.3261,-0.6461044653988224,-1.0681543425762108
2003-10,6.08,2.71,1.97,-1.35,1.55,0.07,3.99,3.0474,1.031,-1.7507,-0.5642,0.4631439034644247,3.464585935554698
2003-11,1.35,2.33,1.78,0.19,1.81,0.07,1.46,2.1957,2.3052,0.7767,0.5379,1.2660041013947687,-1.230896288286898
2003-12,4.29,-2.49,1.6,0.56,0.94,0.08,-5.57,-2.7811,0.774,-1.7394,-1.3486,-4.868377601377027,-3.6716826920176526
2004-01,2.15,2.45,2.49,-3.66,3.38,0.07,2.58,3.1121,2.0585,-2.4364,0.837,1.530191288933036,1.7042543900283924
2004-02,1.4,-0.93,0.9,2.17,-1.21,0.06,-1.14,-0.3075,-0.8855,2.1354,-0.0152,-1.5432160849266574,-0.94950539348313
