Year_Month,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM
1969-06,   -7.18,   -5.45,   -1.08,    4.32,   -1.60,    0.51,  -2.30
1969-07,   -7.00,   -3.41,    1.20,    1.48,    1.91,    0.53,   1.71
1969-08,    4.68,    0.70,   -3.79,    1.13,   -4.02,    0.50,   2.17
1969-09,   -2.98,    1.29,   -3.27,    3.39,   -0.82,    0.62,   2.52
1969-10,    5.06,    3.96,   -3.16,    0.05,   -2.15,    0.60,  -4.31
1969-11,   -3.79,   -2.45,   -1.19,    1.46,    0.30,    0.52,   3.66
1969-12,   -2.63,   -3.76,   -2.86,    2.54,   -1.81,    0.64,   4.96
1970-01,   -8.10,    3.12,    3.13,   -1.72,    3.84,    0.60,   0.60
1970-02,    5.13,   -2.76,    3.93,   -2.29,    2.76,    0.62,   0.23
1970-03,   -1.06,   -2.41,    3.99,   -1.00,    4.29,    0.57,  -0.36
1970-04,  -11.00,   -6.40,    6.18,   -0.64,    6.21,    0.50,  -0.77
1970-05,   -6.92,   -4.48,    3.33,   -1.21,    3.90,    0.53,  -2.78
1970-06,   -5.79,   -2.20,    0.60,    0.13,    2.96,    0.58,   5.70
1970-07,    6.93,   -0.62,    0.90,   -0.26,    1.84,    0.52,  -3.14
1970-08,    4.49,    1.52,    1.15,    0.56,   -0.21,    0.53,  -6.55
1970-09,    4.18,    8.51,   -5.47,    0.30,   -5.83,    0.54,  -8.80
1970-10,   -2.28,   -4.43,    0.22,    1.71,    2.34,    0.46,   9.42
1970-11,    4.60,   -3.86,    1.69,    1.57,    1.47,    0.46,   2.73
1970-12,    5.72,    2.94,    1.00,    0.27,    0.30,    0.42,  -2.23
1971-01,    4.84,    7.54,    1.33,   -1.99,    0.07,    0.38,  -6.51
1971-02,    1.41,    2.04,   -1.23,    0.62,   -0.70,    0.33,   0.79
1971-03,    4.13,    2.26,   -3.95,    1.82,   -2.71,    0.30,  -1.41
1971-04,    3.15,   -0.36,    0.69,   -1.47,    0.87,    0.28,   1.41
1971-05,   -3.98,   -1.11,   -1.44,    1.40,    0.25,    0.29,   0.86
1971-06,   -0.10,   -1.48,   -1.87,    1.53,   -1.64,    0.37,   2.73
1971-07,   -4.50,   -1.39,    0.02,    0.64,    1.46,    0.40,  -2.35
1971-08,    3.79,   -0.16,    2.63,   -0.43,    2.64,    0.47,   3.61
1971-09,   -0.85,    0.28,   -2.91,    2.56,   -1.58,    0.37,   2.12
1971-10,   -4.42,   -1.60,   -0.48,    1.62,   -1.35,    0.37,   0.47
1971-11,   -0.46,   -2.86,   -1.68,    2.44,   -0.34,    0.37,   1.51
1971-12,    8.71,    3.27,   -0.40,   -0.40,   -1.75,    0.37,  -0.58
1972-01,    2.49,    6.10,    2.24,   -1.69,    0.55,    0.29,   0.17
1972-02,    2.87,    0.87,   -2.79,    1.61,   -0.52,    0.25,   2.54
1972-03,    0.63,   -0.43,   -1.61,    1.63,   -0.18,    0.27,   2.94
1972-04,    0.29,    0.23,    0.12,   -0.42,   -1.03,    0.29,   2.81
1972-05,    1.25,   -3.10,   -2.70,    2.34,   -1.95,    0.30,   3.29
1972-06,   -2.43,   -0.43,   -2.48,    1.88,   -0.36,    0.29,   1.90
1972-07,   -0.80,   -2.77,    0.66,    1.14,   -0.66,    0.31,   2.75
1972-08,    3.26,   -3.48,    4.54,   -1.96,    2.85,    0.29,  -5.40
1972-09,   -1.14,   -2.23,    0.46,    1.68,   -1.97,    0.34,   1.82
1972-10,    0.52,   -2.54,    1.34,   -0.15,    0.02,    0.40,   0.71
1972-11,    4.60,   -0.62,    4.85,   -1.95,    3.37,    0.37,  -5.09
1972-12,    0.62,   -1.89,   -2.19,    2.60,   -2.16,    0.37,   4.92
1973-01,   -3.29,   -2.81,    2.68,    0.42,    0.90,    0.44,   3.73
1973-02,   -4.85,   -3.91,    1.60,   -0.26,    0.02,    0.41,   2.16
1973-03,   -1.30,   -2.33,    2.62,   -1.07,    0.62,    0.46,   3.59
