Year_Month,RF_HXZ,Mkt-RF_HXZ,ME,IA,ROE,EG
1974-03,0.5677,-2.8245,1.905,-0.0175,1.8657,1.07
1974-04,0.7949,-5.331,-0.4707,2.3712,2.2928,2.4687
1974-05,0.7235,-4.6599,-4.1023,-0.4303,2.2588,0.3093
1974-06,0.6892,-2.9154,0.2453,1.5566,1.5503,2.0198
1974-07,0.6756,-8.0181,3.5542,4.5057,2.5255,5.6961
1974-08,0.594,-9.344,2.1729,3.2553,2.8417,4.9746
1974-09,0.7997,-11.7639,1.9885,4.932,-2.2989,3.5397
1974-10,0.5254,16.0666,-6.0389,-1.487,8.8612,0.9698
1974-11,0.5139,-4.4797,-0.8823,2.7406,1.7617,1.3955
1974-12,0.7009,-3.4488,-3.9173,2.1538,0.422,1.9734
1975-01,0.5387,13.7056,12.5918,-0.7205,-11.6191,-5.4952
1975-02,0.4326,5.557,-1.4173,-1.7234,3.6003,0.574
1975-03,0.4014,2.6678,3.1928,-0.5984,-1.767,-1.8094
1975-04,0.4489,4.2101,-1.3333,-0.0936,3.3983,2.2158
1975-05,0.4869,5.141,3.2863,-0.1525,-0.2663,0.0244
1975-06,0.4133,4.8545,1.6413,0.3354,-1.6419,-0.6996
1975-07,0.4811,-6.5871,2.9593,1.4598,-1.4083,1.7789
1975-08,0.4815,-2.8497,-3.2148,-0.1403,0.6873,1.3673
1975-09,0.5575,-4.291,0.6781,1.3668,1.677,3.2839
1975-10,0.5185,5.3413,-4.597,3.1196,2.5741,2.5221
1975-11,0.4127,2.6413,-0.4411,1.5571,0.6959,1.6136
1975-12,0.4983,-1.6279,0.2818,0.0111,-2.2596,0.4872
1976-01,0.4402,12.1724,6.8426,1.3805,-2.6249,0.941
1976-02,0.3452,0.3125,6.9458,2.2167,-3.6997,0.8386
1976-03,0.4344,2.285,-0.4361,1.7776,2.411,1.5931
1976-04,0.444,-1.5107,-0.4866,-0.9555,-0.2693,-0.0135
1976-05,0.4124,-1.3766,-1.2126,-0.9846,0.4517,0.4205
1976-06,0.4446,4.0397,0.0453,1.3001,-0.0271,0.9209
1976-07,0.439,-1.0323,1.2082,0.8559,0.7259,1.63
1976-08,0.4745,-0.6094,-2.1042,-0.5939,-0.0105,0.6296
1976-09,0.3924,2.1069,-0.284,-1.4853,1.0646,0.9911
1976-10,0.4092,-2.4233,0.6837,-1.0682,0.3201,-0.5163
1976-11,0.444,0.309,3.3528,-0.3773,-0.6261,0.1132
1976-12,0.3579,5.696,3.4032,1.7912,-1.0562,1.1166
1977-01,0.3594,-4.0293,5.98,1.0172,-2.1629,1.6572
1977-02,0.3499,-1.9367,1.0877,0.0981,1.237,0.4244
