Date,MOM,Mkt-RF,SMB,HML,RMW,CMA,RF,ME,IA,ROE,EG,CRD,LIQ
1990-10-12,1.7104634348473535,-4.07556839229054,-1.1023952710305762,1.5740024482624682,0.5892677353259046,0.4253209204230446,0.1500900270040128,-1.2234,0.761,-0.4524,0.6081,2.061051076961351,-0.1264683374535669
1990-10-19,2.410622238756943,3.465348245953015,-2.5130912350567747,-1.9927959898091707,1.279900688654534,-1.3829397088512163,0.1500900270040128,-2.2778,-0.4935,2.322,0.7539,6.211808183512413,3.0690578334070295
1990-10-26,1.186042893365813,-2.1083050319161245,1.013630725792436,-0.270379471452109,0.3281760955496926,0.3159921510776708,0.1500900270040128,0.8671,-0.0047,-0.5484,0.8146,-0.8307142212954588,-0.1419848907206367
1990-11-02,0.280653970295952,1.8563310926407617,-2.568382065341357,0.46898691933559,-0.6882957258863232,0.6002234344038015,0.144082913844401,-2.2285,0.6343,0.3506,0.2906,1.4820779670146944,0.1065282410977142
1990-11-09,-1.127028493116744,0.8767834469596947,-0.3040230165985202,-0.3321160580323723,0.0482078531782281,-1.464211796807402,0.1350729196856415,-0.3451,-0.9143,-0.2881,-0.6426,1.6825155630791675,0.2541590384347536
1990-11-16,-3.779048507010474,1.423739224488041,0.9898202684389013,-0.5115138192249846,0.5092563589124799,-2.2656513818180457,0.1350729196856415,1.0547,-2.3142,1.0124,-0.0908,3.046554209268293,3.290718649516422
1990-11-23,1.8200854768486872,-0.6955667168365043,0.5182174902135905,-0.6489143161120037,0.7014494310549679,-0.3202843298654279,0.1080437478737206,0.7376,-0.1957,0.5886,0.3693,-3.4043646613363343,-0.9268416918619792
1990-11-30,-1.0369360788605286,2.2383690242894216,0.0939186878230469,-1.2862279345034255,-0.33987087444175,-0.3703758461569451,0.1350729196856415,-0.03,-0.1613,0.0926,-0.3149,1.9648083301194497,3.27871114581777
1990-12-07,-3.2494405471089283,1.9764851034308917,0.9404983241937392,-0.1106844975075405,1.6703370596682143,-1.5032565673172904,0.1500900270040128,0.9475,-1.8637,1.5511,-0.4365,2.374199594041637,1.7961304286311377
1990-12-14,1.0712406396396368,-0.3588805549637475,-0.283079617900539,-0.7197805465299023,0.2084396719459036,-0.1614131028968568,0.1500900270040128,-0.2152,0.3985,0.9052,1.2326,2.032035651197406,-0.7293538195447535
1990-12-21,0.2684557730771475,1.2090491801864278,-1.078347475388486,-0.1304067351927451,0.2901979991657644,-0.8199438204108733,0.1500900270040128,-0.7861,-1.431,0.5741,0.1166,-0.7037282692340718,3.124770411116784
1990-12-28,1.6586847809147989,-0.809787962809605,0.3290429369895431,-0.1101109288919155,0.2401429987924253,0.6009721325503703,0.1200540108007741,0.6149,0.9383,0.7614,0.305,0.3963131516648843,-0.5576244621783966
1991-01-11,2.4014543272807387,-1.9255860136796257,-0.0831300825628766,-0.3610579634316102,0.4792639444359814,-0.1238292226781512,0.1150529121683563,-0.0214,-0.1125,0.8689,0.5111,2.3183317784342794,0.5077804677164899
1991-01-18,1.215120516600865,4.68465663540123,-3.1150710679368587,-1.8310869131783705,1.5839869029265152,-2.07860134374116,0.1150529121683563,-3.3315,-1.5983,1.7433,0.3328,4.273333340695018,2.6359417324798073
1991-01-25,-2.7995497640938782,1.7093477257899448,3.290613761884642,-0.7891024910008593,-0.3301808981096665,-0.4817409145899898,0.1150529121683563,3.4733,-0.7229,-0.2099,0.5592,0.9888406712133868,5.911286636407431
1991-02-01,-3.3960322525531828,2.6997269703757487,3.7127275770314494,-0.6700483259015844,0.4788494902322027,-1.3934911172888031,0.1170547528032805,3.3475,-1.4259,-0.6323,-1.0509,0.1366634778080522,3.439566459824972
1991-02-08,-2.509904463742274,4.669322555176003,-0.4834850244156086,-0.3146955237239179,-0.1211941155394247,0.42775985036132,0.1250625156270057,-0.4528,0.5701,-0.8132,0.4384,1.4474265536315256,1.074965105431902
1991-02-15,-1.2074120022006918,2.656949821524623,1.0564651062189734,-0.0204968776198688,0.8219137042411173,-1.0563445573443908,0.1250625156270057,0.9505,-1.5302,0.221,-0.024,3.51657400333929,-1.1160220274717858
1991-02-22,2.1762427113077187,-0.7333091133491787,1.0834676026900023,-1.0876925014897454,-0.3806907685602434,-0.5118989170297739,0.1000375062504277,1.0021,0.0427,0.2393,-0.1266,-0.7625463624774786,-0.0034539010108747
1991-03-01,-1.9292473120749,1.362049804011134,0.7262273582717249,0.3949666006778152,-0.1416018976037603,0.5493154429266234,0.1220595145018155,0.5973,0.3992,-0.9313,-0.5498,0.9158296741403448,1.7862464460751235
1991-03-08,-0.0114447070052148,1.5637211285450592,2.479251253326642,-1.2959584248519065,-0.0608580425716653,0.1267633302480808,0.1100484106492105,2.1304,0.0462,-0.1371,1.0362,2.640686596226227,3.860249723565623
1991-03-15,0.3282556376272616,-0.7192696175669422,-0.978804058707905,0.83613797426072,-0.1212138367793991,0.0287624151375398,0.1100484106492105,-0.9067,0.0653,0.0541,-0.5845,-1.2795111484510957,-2.291017897521963
1991-03-22,2.572646830950021,-1.3013293399176784,1.5276664257780403,-0.101518928302835,-1.036760932847658,0.9124279763070398,0.1100484106492105,1.7786,1.0986,1.3786,-0.4605,-0.1841393672396551,-2.200087327265565
1991-03-28,1.0842592188262223,2.2488470226069923,0.816009322232758,-0.6595225430715779,0.679355899797085,-1.7123589451029986,0.0880290442594633,1.0194,-1.6948,0.7895,0.3304,1.5391661936832168,1.9569370831483248
